BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by COMPASS;Condo for sale;395000;3;1.0;2184.207862;233 E 86th St Apt 5D;Manhattan, NY 10028;233 E 86th St Apt 5DManhattan, NY 10028;New York;New York County;New York;Manhattan;233;233 East 86th St #5b, New York, NY 10028, USA;40.778484;-73.9524912
Brokered by B Square Realty;Multi-family home for sale;1090000;5;3.0;2184.207862;507 127th St;College Point, NY 11356;507 127th StCollege Point, NY 11356;;New York;Queens County;Queens;127th Street;507 127th St, Flushing, NY 11356, USA;40.7922364;-73.8405165
Brokered by REALHome Services & Solutions;Multi-family home for sale;471300;4;2.0;2175.0;672 Van Siclen Ave;Brooklyn, NY 11207;672 Van Siclen AveBrooklyn, NY 11207;United States;New York;Kings County;Brooklyn;Van Siclen Avenue;672 Van Siclen Ave, Brooklyn, NY 11207, USA;40.6629386;-73.8878146
Brokered by Serhant;Condo for sale;9450000;2;3.0;3918.0;60 Greene St Apt 4;New York, NY 10012;60 Greene St Apt 4New York, NY 10012;New York;New York County;New York;Manhattan;60;60 Greene St APT 4, New York, NY 10012, USA;40.7228178;-74.00088
Brokered by Weichert Realtors The Franzese Group;House for sale;1089000;4;2.0;1720.0;649 Bay Ridge Pkwy;Brooklyn, NY 11209;649 Bay Ridge PkwyBrooklyn, NY 11209;United States;New York;Kings County;Brooklyn;Bay Ridge Parkway;649 Bay Ridge Pkwy, Brooklyn, NY 11209, USA;40.6275081;-74.018889
Brokered by Bedford Brownstone Realty LLC;Co-op for sale;220000;1;1.0;500.0;767 Eastern Pkwy Apt 1A;Brooklyn, NY 11213;767 Eastern Pkwy Apt 1ABrooklyn, NY 11213;New York;Kings County;Brooklyn;Crown Heights;767;767 Eastern Pkwy #1a, Brooklyn, NY 11213, USA;40.6699448;-73.9429395
Brokered by COMPASS;Townhouse for sale;9950000;10;10.0;8000.0;120 E 19th St;Manhattan, NY 10003;120 E 19th StManhattan, NY 10003;United States;New York;New York County;New York;East 19th Street;120 E 19th St, New York, NY 10003, USA;40.7369927;-73.9868876
Brokered by Joachim Realty Llc;Co-op for sale;295000;2;1.0;950.0;234-18 131st Ave Unit Lower;Rosedale, NY 11422;234-18 131st Ave Unit LowerRosedale, NY 11422;United States;New York;Queens County;Queens;131st Avenue;234-18 131st Ave, Rosedale, NY 11422, USA;40.6778447;-73.7335012
Brokered by Katz Realty;House for sale;1375000;5;4.0;2704.0;19 Bascom Pl;Staten Island, NY 10314;19 Bascom PlStaten Island, NY 10314;United States;New York;Richmond County;Staten Island;Bascom Place;19 Bascom Pl, Staten Island, NY 10314, USA;40.606711;-74.1447092
Brokered by J. Sikar Realty;Co-op for sale;399000;2;2.0;1050.0;2944 W 5th St Apt 19C;Brooklyn, NY 11224;2944 W 5th St Apt 19CBrooklyn, NY 11224;New York;Kings County;Brooklyn;Coney Island;2944;2944 W 5th St #19c, Brooklyn, NY 11224, USA;40.5776924;-73.9737314
Brokered by Exit Realty Private Client;Co-op for sale;219999;2;1.0;800.0;3240 Riverdale Ave Apt 4B;Bronx, NY 10463;3240 Riverdale Ave Apt 4BBronx, NY 10463;;Bronx County;The Bronx;Kingsbridge;3240;3240 Riverdale Ave #4b, Bronx, NY 10463, USA;40.8833792;-73.907461
Brokered by Corcoran;Co-op for sale;129000;3;1.0;2184.207862;87-15 165th St Unit 2A;Jamaica, NY 11432;87-15 165th St Unit 2AJamaica, NY 11432;New York;Queens County;Queens;Jamaica;87-15;87-15 165th St #2a, Jamaica, NY 11432, USA;40.7104509;-73.7982064
Brokered by COMPASS;Co-op for sale;329000;1;1.0;2184.207862;48-17 42nd St Unit 4B;Queens, NY 11104;48-17 42nd St Unit 4BQueens, NY 11104;New York;Queens County;Queens;Woodside;48-17;48-17 42nd St #4b, Woodside, NY 11377, USA;40.739059;-73.9229803
Brokered by Herman & Co. New York;House for sale;639000;4;2.0;1856.0;2341 Richmond Rd;Staten Island, NY 10306;2341 Richmond RdStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Richmond Road;2341 Richmond Rd, Staten Island, NY 10306, USA;40.5774962;-74.1181004
Brokered by Robert DeFalco Realty, Inc.;Contingent;750000;4;4.0;1240.0;114 McArthur Ave;Staten Island, NY 10312;114 McArthur AveStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Mcarthur Avenue;114 Mc Arthur Ave, Staten Island, NY 10312, USA;40.5546832;-74.1780566
Brokered by Prominent Properties Sotheby's International Realty;House for sale;499999;3;2.0;1763.0;12 Irving Pl;Staten Island, NY 10304;12 Irving PlStaten Island, NY 10304;United States;New York;Richmond County;Staten Island;Irving Place;12 Irving Pl, Staten Island, NY 10304, USA;;
Brokered by Douglas Elliman - Bayside;Co-op for sale;560000;2;2.0;2184.207862;110-20 71 Ave Unit 330;Forest Hills, NY 11375;110-20 71 Ave Unit 330Forest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;11020;11020 71st Ave Apt 330, Forest Hills, NY 11375, USA;40.7223099;-73.84153
Brokered by RE/MAX City Square;Townhouse for sale;1268000;3;2.0;1513.0;102-37 68th Ave;Forest Hills, NY 11375;102-37 68th AveForest Hills, NY 11375;United States;New York;Queens County;Queens;68th Avenue;102-37 68th Ave, Flushing, NY 11375, USA;40.7240812;-73.8521227
Brokered by BROOKLYN`S 4 U REALTY;House for sale;1899000;7;4.0;2800.0;2719 Whitman Dr;Brooklyn, NY 11234;2719 Whitman DrBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;Whitman Drive;2719 Whitman Dr, Brooklyn, NY 11234, USA;40.6049921;-73.9106532
Brokered by Corcoran;Co-op for sale;129000;3;1.0;2184.207862;87-15 165th St Unit 2A;Jamaica, NY 11432;87-15 165th St Unit 2AJamaica, NY 11432;;Queens County;Queens;Jamaica;87-15;87-15 165th St #2a, Jamaica, NY 11432, USA;40.7104509;-73.7982064
Brokered by NY Empire Real Estate;Co-op for sale;888000;3;2.0;1600.0;69-10 108 St Unit 4C;Forest Hills, NY 11375;69-10 108 St Unit 4CForest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;69-10;69-10 108th St #4c, Forest Hills, NY 11375, USA;40.724514;-73.8458441
Brokered by Berkshire Hathaway HomeServices Cangiano Estates;Multi-family home for sale;2100000;20;8.0;7200.0;7222 3rd Ave;Brooklyn, NY 11209;7222 3rd AveBrooklyn, NY 11209;United States;New York;Kings County;Brooklyn;3rd Avenue;7222 3rd Ave, Brooklyn, NY 11209, USA;40.6330213;-74.0274188
NoBroker;House for sale;2900000;5;;6707.0;29 Annfield Ct;Staten Island, NY 10304;29 Annfield CtStaten Island, NY 10304;United States;New York;Richmond County;Staten Island;Annfield Court;29 Annfield Ct, Staten Island, NY 10304, USA;40.6000344;-74.1064235
Brokered by Prospes Real Estate Corp;House for sale;1250000;4;;2184.207862;146-11 Delaware Ave;Flushing, NY 11355;146-11 Delaware AveFlushing, NY 11355;United States;New York;Queens County;Queens;Delaware Avenue;146-11 Delaware Ave, Flushing, NY 11355, USA;40.7562704;-73.8180817
Brokered by Benjamin Realty Since 1980;Condo for sale;1078000;3;2.0;2184.207862;100-25 Queens Blvd Unit 4BB;Forest Hills, NY 11375;100-25 Queens Blvd Unit 4BBForest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;100-25;100-25 Queens Blvd #4b, Forest Hills, NY 11375, USA;40.7270139;-73.8523359
Brokered by Keller Williams Points North;House for sale;3200000;4;4.0;2950.0;70 81st St;Brooklyn, NY 11209;70 81st StBrooklyn, NY 11209;United States;New York;Kings County;Brooklyn;81st Street;70 81st St, Brooklyn, NY 11209, USA;40.6286854;-74.0372417
Brokered by COMPASS;Co-op for sale;555555;1;1.0;2184.207862;622 W End Ave Apt 4E;Manhattan, NY 10024;622 W End Ave Apt 4EManhattan, NY 10024;New York;New York County;New York;Manhattan;622;622 West End Ave #4a, New York, NY 10024, USA;40.7914938;-73.9756337
Brokered by Keller Williams Realty Greater Nassau;Co-op for sale;293900;1;1.0;2184.207862;35-31 85th St Unit 6C;Jackson Heights, NY 11372;35-31 85th St Unit 6CJackson Heights, NY 11372;New York;Queens County;Queens;Jackson Heights;35-31;35-31 85th St #6c, Jackson Heights, NY 11372, USA;40.7512505;-73.8814433
Brokered by RE MAX Elite;House for sale;1175000;3;2.0;1192.0;6810 Madeline Ct;Brooklyn, NY 11220;6810 Madeline CtBrooklyn, NY 11220;United States;New York;Kings County;Brooklyn;Madeline Court;6810 Madeline Ct, Brooklyn, NY 11220, USA;40.6369819;-74.0276787
Brokered by EXIT REALTY FIRST CHOICE;Land for sale;160000;3;;2184.207862;110-42 213th St;Queens Village, NY 11429;110-42 213th StQueens Village, NY 11429;United States;New York;Queens County;Queens;213th Street;110-42 213th St, Queens Village, NY 11429, USA;40.7066981;-73.7439122
Brokered by Coldwell Banker Reliable;Contingent;999999;3;2.0;1880.0;560 Bay Ridge Ave;Brooklyn, NY 11220;560 Bay Ridge AveBrooklyn, NY 11220;United States;New York;Kings County;Brooklyn;Bay Ridge Avenue;560 Bay Ridge Ave, Brooklyn, NY 11220, USA;40.6325838;-74.0194607
Brokered by Karten Real Estate Svcs LLC;House for sale;1448000;5;4.0;2000.0;84-19 253rd St;Bellerose, NY 11426;84-19 253rd StBellerose, NY 11426;United States;New York;Queens County;Queens;253rd Street;84-19 253rd St, Jamaica, NY 11426, USA;40.735335;-73.7142031
Brokered by BERGEN BASIN REALTY;House for sale;2950000;6;5.0;5436.0;2390 National Dr;Brooklyn, NY 11234;2390 National DrBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;National Drive;2390 National Dr, Brooklyn, NY 11234, USA;40.6037688;-73.9113665
Brokered by EXP Realty;Co-op for sale;150000;3;1.0;600.0;99-10 60 Ave Unit 5L;Corona, NY 11368;99-10 60 Ave Unit 5LCorona, NY 11368;New York;Queens County;Queens;Corona;99-10;99-10 60th Ave #5l, Corona, NY 11368, USA;40.7364499;-73.8584826
Brokered by DiTommaso Real Estate;Condo for sale;354900;2;1.0;673.0;160 72nd St Apt 713;Brooklyn, NY 11209;160 72nd St Apt 713Brooklyn, NY 11209;New York;Kings County;Brooklyn;Bay Ridge;160;160 72nd St Apt 713, Brooklyn, NY 11209, USA;40.6343667;-74.0311335
Brokered by Chase Global Realty Corp;Condo for sale;580000;2;2.0;2184.207862;93-05 37th Ave Unit 5A;Jackson Heights, NY 11372;93-05 37th Ave Unit 5AJackson Heights, NY 11372;United States;New York;Queens County;Queens;37th Avenue;93-05 37th Ave, Jackson Heights, NY 11372, USA;40.7510826;-73.8738365
Brokered by Trademarko Realty Inc;House for sale;969000;3;2.0;1776.0;63-44 72nd St;Middle Village, NY 11379;63-44 72nd StMiddle Village, NY 11379;United States;New York;Queens County;Queens;72nd Street;63-44 72nd St, Flushing, NY 11379, USA;40.7165988;-73.883495
Brokered by Bayview Marketing Group LLC;Condo for sale;530000;1;1.0;538.0;2286 Cropsey Ave Unit 6D;Brooklyn, NY 11214;2286 Cropsey Ave Unit 6DBrooklyn, NY 11214;;New York;Kings County;Brooklyn;2286;2286 Cropsey Ave #6d, Brooklyn, NY 11214, USA;40.5954596;-73.9968422
Brokered by Winzone Realty Inc;House for sale;3900000;5;6.0;7723.0;14458 Boulevard;Malba, NY 11357;14458 BoulevardMalba, NY 11357;United States;New York;Queens County;Queens;Boulevard;144-58 Boulevard, Malba, NY 11357, USA;40.7924353;-73.8258362
Brokered by Keller Williams Realty Greater Nassau;Condo for sale;624999;3;2.0;2184.207862;1070 E 73rd St Unit 4C;Brooklyn, NY 11234;1070 E 73rd St Unit 4CBrooklyn, NY 11234;New York;Kings County;Brooklyn;Bergen Beach;1070;1070 E 73rd St #4c, Brooklyn, NY 11234, USA;40.6283771;-73.9175027
Brokered by VYLLA Homes;House for sale;551000;3;;2184.207862;1606 E 45th St;Brooklyn, NY 11234;1606 E 45th StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;East 45th Street;1606 E 45th St, Brooklyn, NY 11234, USA;40.6214749;-73.932287
Brokered by Corcoran East Side;Townhouse for sale;14800000;8;10.0;2184.207862;135 E 15th St;New York, NY 10003;135 E 15th StNew York, NY 10003;United States;New York;New York County;New York;East 15th Street;135 E 15th St, New York, NY 10003, USA;40.7345123;-73.9874441
Brokered by Kismet Realty NY;House for sale;450000;3;;1122.0;102 Pilot St;Bronx, NY 10464;102 Pilot StBronx, NY 10464;United States;New York;Bronx County;The Bronx;Pilot Street;102 Pilot St, Bronx, NY 10464, USA;40.8408308;-73.7856681
Brokered by Robert DeFalco Realty, Inc.;Condo for sale;475000;2;1.0;1296.0;26 Katan Loop Unit B;Staten Island, NY 10308;26 Katan Loop Unit BStaten Island, NY 10308;United States;New York;Richmond County;Staten Island;Katan Loop;26 Katan Loop, Staten Island, NY 10308, USA;40.5527755;-74.1539297
Brokered by Corcoran West Side Gallery;Condo for sale;995000;3;2.0;2184.207862;100 Manhattan Ave Apt 4A;New York, NY 10025;100 Manhattan Ave Apt 4ANew York, NY 10025;New York;New York County;New York;Manhattan;100;100 Manhattan Ave #4a, New York, NY 10025, USA;40.7974456;-73.9620195
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage;Co-op for sale;650000;1;1.0;2184.207862;411 E 57th St Apt 16B;New York, NY 10022;411 E 57th St Apt 16BNew York, NY 10022;New York;New York County;New York;Manhattan;411;411 E 57th St #16b, New York, NY 10022, USA;40.7582795;-73.9624506
Brokered by Sold By Bart R E Partners Inc;Co-op for sale;250000;2;1.0;2184.207862;83-55 Woodhaven Blvd Unit 6K;Woodhaven, NY 11421;83-55 Woodhaven Blvd Unit 6KWoodhaven, NY 11421;New York;Queens County;Queens;Woodhaven;83-55;83-55 Woodhaven Blvd #6k, Woodhaven, NY 11421, USA;40.700309;-73.8535466
Brokered by Re/Max In The City;Co-op for sale;125000;3;1.0;600.0;3121 Middletown Rd Apt 1C;Bronx, NY 10461;3121 Middletown Rd Apt 1CBronx, NY 10461;New York;Bronx County;The Bronx;Pelham Bay;3121;3121 Middletown Rd #1c, Bronx, NY 10461, USA;40.8455961;-73.8264218
Brokered by COMPASS;Co-op for sale;2200000;3;3.0;2195.0;336 Central Park W Apt 3B;Manhattan, NY 10025;336 Central Park W Apt 3BManhattan, NY 10025;New York;New York County;New York;Manhattan;336;336 Central Park W #3b, New York, NY 10025, USA;40.7904197;-73.966175
Brokered by Corcoran East Side;Condo for sale;925000;2;1.0;2184.207862;200 Bowery Apt 2C;New York, NY 10012;200 Bowery Apt 2CNew York, NY 10012;New York;New York County;New York;Manhattan;200;200 Bowery #2c, New York, NY 10012, USA;40.7213854;-73.9939529
Brokered by Classic Home Sales;House for sale;639000;3;2.0;2184.207862;2072 E 74th St;Brooklyn, NY 11234;2072 E 74th StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;East 74th Street;2072 E 74th St, Brooklyn, NY 11234, USA;;
Brokered by Sowae Corp;House for sale;215000;3;;1509.0;114-06 194 St;Saint Albans, NY 11412;114-06 194 StSaint Albans, NY 11412;United States;New York;Queens County;Queens;194th Street;114-06 194th St, Jamaica, NY 11412, USA;40.6982271;-73.7605874
Brokered by Tom Crimmins Realty, Ltd.;House for sale;2050000;6;6.0;5600.0;254 Flagg Pl;Staten Island, NY 10304;254 Flagg PlStaten Island, NY 10304;;New York;Richmond County;Staten Island;Flagg Place;254 Flagg Pl, Staten Island, NY 10304, USA;40.5856353;-74.1068594
Brokered by Jane Mosello Real Estate;Co-op for sale;279000;2;2.0;1050.0;4320 Van Cortlandt Park E Apt R;Bronx, NY 10470;4320 Van Cortlandt Park E Apt RBronx, NY 10470;United States;New York;Bronx County;The Bronx;Van Cortlandt Park East;4320 Van Cortlandt Park E, Bronx, NY 10470, USA;40.898666;-73.8738365
Brokered by COMPASS;Condo for sale;785000;2;2.0;968.0;16 Bay 25th St Unit 4A;Brooklyn, NY 11214;16 Bay 25th St Unit 4ABrooklyn, NY 11214;New York;Kings County;Brooklyn;Bath Beach;16;16 Bay 25th St #4a, Brooklyn, NY 11214, USA;40.6039146;-73.9980848
Brokered by Ashford Homes;House for sale;669000;3;2.0;1312.0;72 Boone St;Staten Island, NY 10314;72 Boone StStaten Island, NY 10314;United States;New York;Richmond County;Staten Island;Boone Street;72 Boone St, Staten Island, NY 10314, USA;40.6013797;-74.1380964
Brokered by Corcoran SoHo;Multi-family home for sale;3650000;4;4.0;2880.0;35 Joralemon St;Brooklyn, NY 11201;35 Joralemon StBrooklyn, NY 11201;United States;New York;Kings County;Brooklyn;Joralemon Street;35 Joralemon St, Brooklyn, NY 11201, USA;40.6938815;-73.9983127
Brokered by Vandenberg -The Townhouse Experts;Townhouse for sale;6700000;4;4.0;3740.0;51 W 95th St;New York, NY 10025;51 W 95th StNew York, NY 10025;United States;New York;New York County;New York;West 95th Street;51 W 95th St, New York, NY 10025, USA;40.7918625;-73.9667605
Brokered by Vantage Realty Partners;Multi-family home for sale;681000;6;3.0;2184.207862;694 Ashford St;Brooklyn, NY 11207;694 Ashford StBrooklyn, NY 11207;United States;New York;Kings County;Brooklyn;Ashford Street;694 Ashford St, Brooklyn, NY 11207, USA;40.6648825;-73.8826911
Brokered by Robert DeFalco Realty, Inc.;Multi-family home for sale;530000;2;2.0;1672.0;87 Murdock Pl;Staten Island, NY 10303;87 Murdock PlStaten Island, NY 10303;United States;New York;Richmond County;Staten Island;Murdock Place;87 Murdock Pl, Staten Island, NY 10303, USA;40.6268626;-74.1476451
Brokered by Corcoran SoHo;Condo for sale;1700000;2;2.0;1580.0;984 Bergen Residence St Apt 1;Brooklyn, NY 11216;984 Bergen Residence St Apt 1Brooklyn, NY 11216;New York;Kings County;Brooklyn;Crown Heights;984;984 Bergen St #1, Brooklyn, NY 11216, USA;40.6763522;-73.9543474
Brokered by J. Milo Real Estate Ltd;Co-op for sale;339000;1;1.0;1085.0;9437 Shore Rd Apt C8;Brooklyn, NY 11209;9437 Shore Rd Apt C8Brooklyn, NY 11209;;Kings County;Brooklyn;Fort Hamilton;9437;9437 Shore Rd Apt C8, Brooklyn, NY 11209, USA;40.6171201;-74.0385203
Brokered by Keller Williams Village Sq Rlt;House for sale;800000;3;2.0;1224.0;1883 E 53rd St;Old Mill Basin, NY 11234;1883 E 53rd StOld Mill Basin, NY 11234;United States;New York;Kings County;Brooklyn;East 53rd Street;1883 E 53rd St, Brooklyn, NY 11234, USA;40.6125589;-73.9230425
Brokered by Re/Max In The City;Co-op for sale;189000;1;1.0;700.0;6535 Broadway Apt 1G;Bronx, NY 10471;6535 Broadway Apt 1GBronx, NY 10471;New York;Bronx County;The Bronx;North Riverdale;6535;6535 Broadway #1g, Bronx, NY 10471, USA;40.906568;-73.8968047
Brokered by Corcoran East Side;Co-op for sale;48000000;5;;2184.207862;740 Park Ave # 4 & 5B;New York, NY 10021;740 Park Ave # 4 & 5BNew York, NY 10021;New York;New York County;New York;Manhattan;740;740 Park Ave #5, New York, NY 10021, USA;40.7707516;-73.9645283
Brokered by Brown Harris Stevens - 445 Park Avenue;Co-op for sale;4995000;2;2.0;2184.207862;14 E 75th St Unit 9D;Manhattan, NY 10021;14 E 75th St Unit 9DManhattan, NY 10021;New York;New York County;New York;Manhattan;14;14 E 75th St #9d, New York, NY 10021, USA;40.7737635;-73.9644574
Brokered by Ed Bruno Realty, LLC;Contingent;835000;5;2.0;2050.0;393 Guyon Ave;Staten Island, NY 10306;393 Guyon AveStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Guyon Avenue;393 Guyon Ave, Staten Island, NY 10306, USA;40.5582716;-74.1160817
Brokered by Douglas Elliman - 575 Madison Ave;House for sale;999999;2;2.0;1198.0;333 E 91st St Apt 10B;New York, NY 10128;333 E 91st St Apt 10BNew York, NY 10128;New York;New York County;New York;Manhattan;333;333 E 91st St #10b, New York, NY 10128, USA;40.7803429;-73.947266
Brokered by Commerce Realty Group;Condo for sale;575000;3;2.0;877.0;61-20 71st Ave Unit F2A;Ridgewood, NY 11385;61-20 71st Ave Unit F2ARidgewood, NY 11385;New York;Queens County;Queens;Ridgewood;61-20;61-20 71st Ave #2f, Ridgewood, NY 11385, USA;40.7019793;-73.8942094
Brokered by Corcoran Bedford Stuyvesant;Pending;349750;1;1.0;2184.207862;483 17th St # 2L;Brooklyn, NY 11215;483 17th St # 2LBrooklyn, NY 11215;New York;Kings County;Brooklyn;Park Slope;483;483 17th St #2l, Brooklyn, NY 11215, USA;40.6585622;-73.9825211
Brokered by Corcoran West Side;Co-op for sale;385000;1;1.0;2184.207862;116 Pinehurst Ave Apt B52;New York, NY 10033;116 Pinehurst Ave Apt B52New York, NY 10033;United States;New York;New York County;New York;Pinehurst Avenue;116 Pinehurst Ave, New York, NY 10033, USA;40.8522694;-73.939181
Brokered by COMPASS;Townhouse for sale;7950000;4;2.0;3397.0;20 Jones St;Manhattan, NY 10014;20 Jones StManhattan, NY 10014;United States;New York;New York County;New York;Jones Street;20 Jones St, New York, NY 10014, USA;40.7319485;-74.0025061
Brokered by CHIN - Re/Max in The City;Pending;324900;2;2.0;1100.0;5715 Mosholu Ave Apt 6B;Bronx, NY 10471;5715 Mosholu Ave Apt 6BBronx, NY 10471;New York;Bronx County;The Bronx;North Riverdale;5715;5715 Mosholu Ave #6b, Bronx, NY 10471, USA;40.9057959;-73.90002
Brokered by Douglas Elliman - 1995 Broadway;Co-op for sale;175000;3;1.0;2184.207862;275 Webster Ave Apt 6G;Brooklyn, NY 11230;275 Webster Ave Apt 6GBrooklyn, NY 11230;;Kings County;Brooklyn;Kensington;275;275 Webster Ave #6g, Brooklyn, NY 11230, USA;40.6329634;-73.9709274
Brokered by Keller Williams Realty Elite;Multi-family home for sale;915999;5;3.0;2184.207862;26-39 93rd St;East Elmhurst, NY 11369;26-39 93rd StEast Elmhurst, NY 11369;United States;New York;Queens County;Queens;93rd Street;26-39 93rd St, Flushing, NY 11369, USA;40.7618985;-73.8758538
Brokered by RE MAX Edge;Multi-family home for sale;1850000;12;8.0;5250.0;1727 E 14th St;Brooklyn, NY 11229;1727 E 14th StBrooklyn, NY 11229;United States;New York;Kings County;Brooklyn;East 14th Street;1727 E 14th St, Brooklyn, NY 11229, USA;40.6074371;-73.9588281
Brokered by Douglas Elliman - New Development;Condo for sale;40000000;5;6.0;7488.0;111 Murray St Ph 2;New York, NY 10007;111 Murray St Ph 2New York, NY 10007;New York;New York County;New York;Manhattan;111;111 Murray St Ph 2, New York, NY 10007, USA;40.715351;-74.0128441
Brokered by CHIN - Re/Max in The City;Pending;324900;2;2.0;1100.0;5715 Mosholu Ave Apt 6B;Bronx, NY 10471;5715 Mosholu Ave Apt 6BBronx, NY 10471;New York;Bronx County;The Bronx;North Riverdale;5715;5715 Mosholu Ave #6b, Bronx, NY 10471, USA;40.9057959;-73.90002
Brokered by RE MAX Edge;Multi-family home for sale;1850000;12;8.0;5250.0;1727 E 14th St;Brooklyn, NY 11229;1727 E 14th StBrooklyn, NY 11229;United States;New York;Kings County;Brooklyn;East 14th Street;1727 E 14th St, Brooklyn, NY 11229, USA;40.6074371;-73.9588281
Brokered by Pantiga Group Inc.;Co-op for sale;175000;1;1.0;800.0;190 E Mosholu Pkwy S Apt 3B;Bronx, NY 10458;190 E Mosholu Pkwy S Apt 3BBronx, NY 10458;New York;Bronx County;The Bronx;West Bronx;190;190 E Mosholu Pkwy S #3b, Bronx, NY 10458, USA;40.8742949;-73.883753
Brokered by SBRW - SBROWNRE,LLC;Pending;850000;2;1.0;775.0;236 E 6th St Apt 3W;New York, NY 10003;236 E 6th St Apt 3WNew York, NY 10003;New York;New York County;New York;Manhattan;236;236 E 6th St #3w, New York, NY 10003, USA;40.7274335;-73.9892241
Brokered by Winzone Realty Inc;House for sale;729000;4;2.0;2184.207862;118-18 225th St;Cambria Heights, NY 11411;118-18 225th StCambria Heights, NY 11411;United States;New York;Queens County;Queens;225th Street;118-18 225th St, Jamaica, NY 11411, USA;40.6917538;-73.7370978
Brokered by Douglas Elliman - 156 Montague;Townhouse for sale;5995000;6;4.0;4000.0;136 Kane St;Brooklyn, NY 11231;136 Kane StBrooklyn, NY 11231;;New York;Kings County;Brooklyn;Kane Street;136 Kane St, Brooklyn, NY 11231, USA;40.6868209;-73.9988226
Brokered by EXP Realty;Co-op for sale;480000;2;1.0;2184.207862;66-36 Yellowstone Blvd Unit 22B;Forest Hills, NY 11375;66-36 Yellowstone Blvd Unit 22BForest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;6636;6636 Yellowstone Blvd Apt 22f, Forest Hills, NY 11375, USA;40.7291499;-73.84944
Brokered by Brown Harris Stevens- 3531 Johnson Avenue;House for sale;4200000;5;4.0;4480.0;164 W 88th St;New York, NY 10024;164 W 88th StNew York, NY 10024;United States;New York;New York County;New York;West 88th Street;164 W 88th St, New York, NY 10024, USA;40.788437;-73.9731887
Brokered by Daniel Gale Sotheby's International Realty;Townhouse for sale;1198000;4;2.0;2184.207862;68-09 Olcott St;Queens, NY 11375;68-09 Olcott StQueens, NY 11375;United States;New York;Queens County;Queens;Olcott Street;68-09 Olcott St, Forest Hills, NY 11375, USA;40.7129312;-73.8561994
Brokered by BEN BAY REALTY, CO.;House for sale;1848000;6;;3676.0;976 Ocean Ave;Brooklyn, NY 11226;976 Ocean AveBrooklyn, NY 11226;United States;New York;Kings County;Brooklyn;Ocean Avenue;976 Ocean Ave, Brooklyn, NY 11226, USA;40.6386251;-73.9591955
Brokered by eXp Realty BKNY;Co-op for sale;285000;1;1.0;750.0;1293 E 5th St Apt 6B;Brooklyn, NY 11230;1293 E 5th St Apt 6BBrooklyn, NY 11230;New York;Kings County;Brooklyn;Midwood;1293;1293 E 5th St #6b, Brooklyn, NY 11230, USA;40.6195811;-73.9706361
Brokered by Realty Trends Corp;Multi-family home for sale;849000;5;3.0;2460.0;43-06 Rockaway Beach Blvd;Far Rockaway, NY 11691;43-06 Rockaway Beach BlvdFar Rockaway, NY 11691;United States;New York;Queens County;Queens;Rockaway Beach Boulevard;43-06 Rockaway Beach Blvd, Far Rockaway, NY 11691, USA;40.5939428;-73.7748361
Brokered by COMPASS;House for sale;549000;3;2.0;1250.0;1764 Undercliff Ave;Bronx, NY 10453;1764 Undercliff AveBronx, NY 10453;United States;New York;Bronx County;The Bronx;Undercliff Avenue;1764 Undercliff Ave, Bronx, NY 10453, USA;40.8515331;-73.9197862
Brokered by Magic Of Great Neck Realty Inc;Co-op for sale;729000;2;2.0;1700.0;26910 Grand Central Pkwy Apt 12O;Floral Park, NY 11005;26910 Grand Central Pkwy Apt 12OFloral Park, NY 11005;New York;Queens County;Queens;Glen Oaks;26910;26910 Grand Central Pkwy #12o, Queens, NY 11005, USA;40.7577991;-73.7159564
Brokered by Douglas Elliman - Bayside;Co-op for sale;199999;1;1.0;2184.207862;209-10 41st Ave Unit 1F;Bayside, NY 11361;209-10 41st Ave Unit 1FBayside, NY 11361;New York;Queens County;Queens;Bayside;209-10;209-10 41st Ave #1f, Bayside, NY 11361, USA;40.762788;-73.7768814
Brokered by Douglas Elliman - 3544 Johnson Ave;House for sale;4900000;8;;9000.0;5040 Goodridge Ave;Bronx, NY 10471;5040 Goodridge AveBronx, NY 10471;United States;New York;Bronx County;The Bronx;Goodridge Avenue;5040 Goodridge Ave, Bronx, NY 10471, USA;40.8983076;-73.9020849
